Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,1,2,5,4
2,2015,10,10,1,4,3,2
3,2015,10,15,1,6,4,3
4,2015,10,16,2,7,1,2
5,2015,10,18,0,7,1,4
6,2015,10,22,1,9,3,2
7,2015,10,24,1,11,3,0
8,2015,10,25,0,11,4,5
9,2015,10,27,1,13,4,3
10,2015,10,30,1,15,5,4
11,2015,10,31,2,16,2,3
12,2015,11,5,0,16,2,3
13,2015,11,7,1,18,1,0
14,2015,11,10,1,20,5,3
15,2015,11,12,3,22,3,2
16,2015,11,14,2,23,2,3
17,2015,11,17,0,23,3,4
18,2015,11,19,0,23,2,4
19,2015,11,21,1,25,4,0
20,2015,11,25,0,25,2,3
21,2015,11,27,0,25,1,3
22,2015,11,28,2,26,3,4
23,2015,12,1,1,28,2,1
24,2015,12,3,1,30,1,0
25,2015,12,5,1,32,3,0
26,2015,12,7,2,33,1,2
27,2015,12,11,2,34,1,2
28,2015,12,12,1,36,2,0
29,2015,12,15,1,38,6,2
30,2015,12,17,1,40,5,2
31,2015,12,19,0,40,2,3
32,2015,12,21,0,40,3,6
33,2015,12,22,1,42,2,1
34,2015,12,26,0,42,1,3
35,2015,12,28,1,44,3,1
36,2015,12,31,1,46,3,1
37,2016,1,2,4,47,2,3
38,2016,1,3,0,47,1,2
39,2016,1,5,1,49,4,2
40,2016,1,7,2,50,3,4
41,2016,1,9,1,52,2,1
42,2016,1,10,0,52,1,2
43,2016,1,12,0,52,2,3
44,2016,1,15,0,52,0,1
45,2016,1,16,0,52,0,3
46,2016,1,20,0,52,1,3
47,2016,1,21,1,54,3,0
48,2016,1,23,0,54,3,4
49,2016,1,25,4,55,1,2
50,2016,2,2,0,55,3,5
51,2016,2,4,0,55,2,4
52,2016,2,6,0,55,1,4
53,2016,2,9,2,56,3,4
54,2016,2,11,0,56,3,4
55,2016,2,13,0,56,2,4
56,2016,2,15,1,58,5,2
57,2016,2,17,1,60,5,3
58,2016,2,18,1,62,5,2
59,2016,2,21,1,64,6,1
60,2016,2,23,0,64,1,4
61,2016,2,25,0,64,2,3
62,2016,2,26,0,64,2,3
63,2016,2,28,1,66,3,1
64,2016,3,1,1,68,6,3
65,2016,3,3,1,70,2,1
66,2016,3,5,5,72,3,2
67,2016,3,6,0,72,2,4
68,2016,3,10,0,72,1,2
69,2016,3,12,1,74,4,1
70,2016,3,15,2,75,2,3
71,2016,3,17,0,75,4,7
72,2016,3,19,5,77,3,2
73,2016,3,20,5,79,3,2
74,2016,3,22,1,81,2,1
75,2016,3,24,1,83,6,2
76,2016,3,26,1,85,4,0
77,2016,3,29,,,,
78,2016,3,31,,,,
79,2016,4,1,,,,
80,2016,4,3,,,,
81,2016,4,5,,,,
82,2016,4,9,,,,