Game,Date,Date ,Date,Converted,Net,,PHI
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,2,1,2,3
2,2015,10,10,0,1,1,7
3,2015,10,12,1,3,1,0
4,2015,10,14,1,5,3,0
5,2015,10,20,0,5,1,2
6,2015,10,21,3,7,5,4
7,2015,10,24,5,9,3,2
8,2015,10,27,2,10,3,4
9,2015,10,29,0,10,1,4
10,2015,10,30,0,10,1,3
11,2015,11,2,0,10,1,4
12,2015,11,3,0,10,2,4
13,2015,11,5,2,11,1,2
14,2015,11,7,1,13,3,0
15,2015,11,10,0,13,0,4
16,2015,11,12,0,13,2,5
17,2015,11,14,3,15,3,2
18,2015,11,17,4,16,2,3
19,2015,11,19,2,17,0,1
20,2015,11,21,0,17,0,4
21,2015,11,23,3,19,3,2
22,2015,11,25,0,19,1,3
23,2015,11,27,3,21,3,2
24,2015,11,28,1,23,3,0
25,2015,12,1,1,25,4,2
26,2015,12,4,3,27,4,3
27,2015,12,5,0,27,1,4
28,2015,12,8,4,28,3,4
29,2015,12,10,1,30,4,2
30,2015,12,11,0,30,1,3
31,2015,12,15,3,32,4,3
32,2015,12,17,1,34,2,0
33,2015,12,19,4,35,2,3
34,2015,12,21,1,37,4,3
35,2015,12,27,0,37,2,4
36,2015,12,30,0,37,2,4
37,2016,1,2,0,37,1,2
38,2016,1,5,1,39,4,3
39,2016,1,7,3,41,4,3
40,2016,1,9,1,43,4,0
41,2016,1,13,1,45,3,2
42,2016,1,16,4,46,2,3
43,2016,1,17,5,48,2,1
44,2016,1,19,0,48,2,3
45,2016,1,21,0,48,3,4
46,2016,1,25,0,48,2,3
47,2016,1,27,3,50,4,3
48,2016,2,2,1,52,4,2
49,2016,2,4,1,54,6,3
50,2016,2,6,4,55,2,3
51,2016,2,7,0,55,2,3
52,2016,2,9,0,55,1,4
53,2016,2,11,1,57,5,1
54,2016,2,13,2,58,1,2
55,2016,2,14,0,58,1,3
56,2016,2,16,1,60,6,3
57,2016,2,19,4,61,2,3
58,2016,2,20,3,63,5,4
59,2016,2,23,0,63,1,3
60,2016,2,25,1,65,3,2
61,2016,2,27,1,67,4,2
62,2016,2,29,1,69,5,3
63,2016,3,3,0,69,0,4
64,2016,3,5,1,71,6,0
65,2016,3,7,1,73,4,2
66,2016,3,11,1,75,3,1
67,2016,3,12,4,76,4,5
68,2016,3,15,1,78,4,3
69,2016,3,16,1,80,3,2
70,2016,3,19,0,80,1,4
71,2016,3,21,1,82,4,1
72,2016,3,22,4,83,2,3
73,2016,3,24,1,85,4,2
74,2016,3,26,0,85,1,2
75,2016,3,28,3,87,3,2
76,2016,3,30,,,,
77,2016,4,2,,,,
78,2016,4,3,,,,
79,2016,4,6,,,,
80,2016,4,7,,,,
81,2016,4,9,,,,
82,2016,4,10,,,,