Game,Date,Date ,Date,Converted,Net,,TOR
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,7,0,0,1,3
2,2015,10,9,0,0,0,4
3,2015,10,10,4,1,4,5
4,2015,10,16,1,3,6,3
5,2015,10,17,0,3,1,2
6,2015,10,21,4,4,1,2
7,2015,10,24,0,4,3,5
8,2015,10,26,0,4,3,4
9,2015,10,30,0,4,1,3
10,2015,10,31,0,4,0,4
11,2015,11,2,1,6,4,1
12,2015,11,4,0,6,2,4
13,2015,11,6,2,7,1,2
14,2015,11,7,4,8,2,3
15,2015,11,10,1,10,3,2
16,2015,11,12,5,12,2,1
17,2015,11,14,1,14,4,2
18,2015,11,15,0,14,3,4
19,2015,11,17,1,16,5,1
20,2015,11,20,5,18,2,1
21,2015,11,21,0,18,0,2
22,2015,11,23,4,19,3,4
23,2015,11,28,0,19,2,4
24,2015,11,30,1,21,3,0
25,2015,12,2,0,21,1,6
26,2015,12,3,0,21,0,1
27,2015,12,5,1,23,4,1
28,2015,12,8,5,25,3,2
29,2015,12,15,2,26,4,5
30,2015,12,17,2,27,4,5
31,2015,12,19,1,29,5,0
32,2015,12,21,1,31,7,4
33,2015,12,22,0,31,2,3
34,2015,12,27,1,33,3,1
35,2015,12,29,0,33,3,6
36,2015,12,30,5,35,3,2
37,2016,1,2,1,37,4,1
38,2016,1,6,1,39,4,0
39,2016,1,7,0,39,1,2
40,2016,1,9,0,39,0,7
41,2016,1,13,0,39,1,3
42,2016,1,15,0,39,1,4
43,2016,1,16,0,39,2,3
44,2016,1,19,1,41,3,2
45,2016,1,21,2,42,0,1
46,2016,1,23,4,43,2,3
47,2016,1,26,0,43,1,5
48,2016,1,27,0,43,0,1
49,2016,2,2,3,45,4,3
50,2016,2,4,5,47,3,2
51,2016,2,6,0,47,1,6
52,2016,2,9,0,47,3,4
53,2016,2,11,0,47,2,5
54,2016,2,13,1,49,5,2
55,2016,2,15,0,49,2,7
56,2016,2,18,0,49,2,4
57,2016,2,20,2,50,4,5
58,2016,2,23,0,50,2,3
59,2016,2,25,1,52,3,1
60,2016,2,27,0,52,1,4
61,2016,2,29,0,52,1,2
62,2016,3,2,0,52,2,3
63,2016,3,3,0,52,1,2
64,2016,3,5,0,52,2,3
65,2016,3,7,4,53,3,4
66,2016,3,9,5,55,4,3
67,2016,3,12,0,55,0,4
68,2016,3,13,1,57,1,0
69,2016,3,15,1,59,4,1
70,2016,3,17,0,59,1,4
71,2016,3,19,1,61,4,1
72,2016,3,21,1,63,5,2
73,2016,3,24,3,65,6,5
74,2016,3,26,0,65,1,3
75,2016,3,28,0,65,0,3
76,2016,3,29,,,,
77,2016,3,31,,,,
78,2016,4,2,,,,
79,2016,4,4,,,,
80,2016,4,6,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,