Game,Date,Date ,Date,Converted,Net,,WSH
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,10,1,2,5,3
2,2015,10,13,0,2,0,5
3,2015,10,15,1,4,4,1
4,2015,10,17,1,6,4,1
5,2015,10,20,1,8,6,2
6,2015,10,22,1,10,3,2
7,2015,10,23,1,12,7,4
8,2015,10,28,0,12,1,3
9,2015,10,30,1,14,2,1
10,2015,10,31,3,16,2,1
11,2015,11,3,0,16,2,5
12,2015,11,5,1,18,4,1
13,2015,11,7,5,20,3,2
14,2015,11,10,0,20,0,1
15,2015,11,12,1,22,5,2
16,2015,11,13,2,23,2,3
17,2015,11,18,3,25,2,1
18,2015,11,19,0,25,2,3
19,2015,11,21,1,27,7,3
20,2015,11,23,1,29,1,0
21,2015,11,25,1,31,5,3
22,2015,11,27,1,33,4,2
23,2015,11,28,1,35,4,2
24,2015,12,3,1,37,3,2
25,2015,12,5,2,38,1,2
26,2015,12,8,5,40,3,2
27,2015,12,10,0,40,1,4
28,2015,12,12,1,42,2,1
29,2015,12,14,1,44,4,1
30,2015,12,16,1,46,2,1
31,2015,12,18,1,48,5,3
32,2015,12,20,1,50,7,3
33,2015,12,21,1,52,2,1
34,2015,12,26,1,54,3,1
35,2015,12,28,1,56,2,0
36,2015,12,30,1,58,5,2
37,2015,12,31,0,58,2,4
38,2016,1,2,4,59,4,5
39,2016,1,5,1,61,3,2
40,2016,1,7,1,63,4,1
41,2016,1,9,3,65,4,3
42,2016,1,10,1,67,7,1
43,2016,1,14,1,69,4,1
44,2016,1,16,0,69,1,4
45,2016,1,17,1,71,5,2
46,2016,1,19,1,73,6,3
47,2016,1,27,2,74,3,4
48,2016,2,2,0,74,2,5
49,2016,2,4,1,76,3,2
50,2016,2,6,5,78,3,2
51,2016,2,7,1,80,3,2
52,2016,2,9,1,82,5,3
53,2016,2,11,1,84,4,3
54,2016,2,13,0,84,3,4
55,2016,2,16,1,86,3,1
56,2016,2,18,3,88,3,2
57,2016,2,20,1,90,4,3
58,2016,2,22,1,92,3,2
59,2016,2,24,0,92,3,4
60,2016,2,26,1,94,3,2
61,2016,2,28,0,94,2,3
62,2016,3,1,1,96,3,2
63,2016,3,2,1,98,3,2
64,2016,3,4,0,98,2,3
65,2016,3,5,3,100,2,1
66,2016,3,7,5,102,2,1
67,2016,3,9,2,103,3,4
68,2016,3,12,0,103,2,5
69,2016,3,15,3,105,2,1
70,2016,3,18,1,107,4,1
71,2016,3,20,0,107,2,6
72,2016,3,22,1,109,4,2
73,2016,3,25,3,111,1,0
74,2016,3,26,0,111,0,4
75,2016,3,28,1,113,4,1
76,2016,3,30,,,,
77,2016,4,1,,,,
78,2016,4,2,,,,
79,2016,4,5,,,,
80,2016,4,7,,,,
81,2016,4,9,,,,
82,2016,4,10,,,,